[02/23 10:58:00] cifar100-mobilenetv2 INFO: Epoch 28/200, Acc=0.4311, Val Loss=2.0905, lr=0.1000
[02/23 10:58:35] cifar100-mobilenetv2 INFO: Epoch 29/200, Acc=0.3739, Val Loss=2.3930, lr=0.1000
[02/23 10:59:10] cifar100-mobilenetv2 INFO: Epoch 30/200, Acc=0.3836, Val Loss=2.3590, lr=0.1000
[02/23 10:59:45] cifar100-mobilenetv2 INFO: Epoch 31/200, Acc=0.4210, Val Loss=2.1764, lr=0.1000
[02/23 11:00:20] cifar100-mobilenetv2 INFO: Epoch 32/200, Acc=0.3650, Val Loss=2.4424, lr=0.1000
[02/23 11:00:55] cifar100-mobilenetv2 INFO: Epoch 33/200, Acc=0.4190, Val Loss=2.1773, lr=0.1000
[02/23 11:01:34] cifar100-mobilenetv2 INFO: Epoch 34/200, Acc=0.1980, Val Loss=3.6742, lr=0.1000
[02/23 11:02:11] cifar100-mobilenetv2 INFO: Epoch 35/200, Acc=0.3941, Val Loss=2.2459, lr=0.1000
[02/23 11:02:45] cifar100-mobilenetv2 INFO: Epoch 36/200, Acc=0.4340, Val Loss=2.0916, lr=0.1000
[02/23 11:03:21] cifar100-mobilenetv2 INFO: Epoch 37/200, Acc=0.4106, Val Loss=2.1855, lr=0.1000
[02/23 11:03:56] cifar100-mobilenetv2 INFO: Epoch 38/200, Acc=0.3902, Val Loss=2.3264, lr=0.1000
[02/23 11:04:31] cifar100-mobilenetv2 INFO: Epoch 39/200, Acc=0.3687, Val Loss=2.5250, lr=0.1000
[02/23 11:05:06] cifar100-mobilenetv2 INFO: Epoch 40/200, Acc=0.3466, Val Loss=2.6018, lr=0.1000
[02/23 11:05:41] cifar100-mobilenetv2 INFO: Epoch 41/200, Acc=0.4106, Val Loss=2.2135, lr=0.1000
[02/23 11:06:16] cifar100-mobilenetv2 INFO: Epoch 42/200, Acc=0.3913, Val Loss=2.3333, lr=0.1000
[02/23 11:06:51] cifar100-mobilenetv2 INFO: Epoch 43/200, Acc=0.3936, Val Loss=2.3047, lr=0.1000
[02/23 11:07:25] cifar100-mobilenetv2 INFO: Epoch 44/200, Acc=0.3772, Val Loss=2.3431, lr=0.1000
[02/23 11:08:04] cifar100-mobilenetv2 INFO: Epoch 45/200, Acc=0.3789, Val Loss=2.4265, lr=0.1000
[02/23 11:08:42] cifar100-mobilenetv2 INFO: Epoch 46/200, Acc=0.3667, Val Loss=2.5074, lr=0.1000
[02/23 11:09:18] cifar100-mobilenetv2 INFO: Epoch 47/200, Acc=0.4015, Val Loss=2.2591, lr=0.1000
[02/23 11:09:53] cifar100-mobilenetv2 INFO: Epoch 48/200, Acc=0.4243, Val Loss=2.1230, lr=0.1000
[02/23 11:10:28] cifar100-mobilenetv2 INFO: Epoch 49/200, Acc=0.3881, Val Loss=2.3039, lr=0.1000
[02/23 11:11:04] cifar100-mobilenetv2 INFO: Epoch 50/200, Acc=0.3999, Val Loss=2.2630, lr=0.1000
[02/23 11:11:39] cifar100-mobilenetv2 INFO: Epoch 51/200, Acc=0.3918, Val Loss=2.3139, lr=0.1000
[02/23 11:12:14] cifar100-mobilenetv2 INFO: Epoch 52/200, Acc=0.4139, Val Loss=2.2331, lr=0.1000
[02/23 11:12:49] cifar100-mobilenetv2 INFO: Epoch 53/200, Acc=0.4065, Val Loss=2.1676, lr=0.1000
[02/23 11:13:24] cifar100-mobilenetv2 INFO: Epoch 54/200, Acc=0.3999, Val Loss=2.2661, lr=0.1000
[02/23 11:13:59] cifar100-mobilenetv2 INFO: Epoch 55/200, Acc=0.3880, Val Loss=2.3899, lr=0.1000
[02/23 11:14:35] cifar100-mobilenetv2 INFO: Epoch 56/200, Acc=0.4239, Val Loss=2.1554, lr=0.1000
[02/23 11:15:12] cifar100-mobilenetv2 INFO: Epoch 57/200, Acc=0.4267, Val Loss=2.1146, lr=0.1000
[02/23 11:15:47] cifar100-mobilenetv2 INFO: Epoch 58/200, Acc=0.4266, Val Loss=2.1089, lr=0.1000
[02/23 11:16:21] cifar100-mobilenetv2 INFO: Epoch 59/200, Acc=0.4102, Val Loss=2.2171, lr=0.1000
[02/23 11:17:01] cifar100-mobilenetv2 INFO: Epoch 60/200, Acc=0.3642, Val Loss=2.5267, lr=0.1000
[02/23 11:17:42] cifar100-mobilenetv2 INFO: Epoch 61/200, Acc=0.3919, Val Loss=2.2922, lr=0.1000
[02/23 11:18:18] cifar100-mobilenetv2 INFO: Epoch 62/200, Acc=0.4344, Val Loss=2.1072, lr=0.1000
[02/23 11:18:52] cifar100-mobilenetv2 INFO: Epoch 63/200, Acc=0.4145, Val Loss=2.1579, lr=0.1000
[02/23 11:19:27] cifar100-mobilenetv2 INFO: Epoch 64/200, Acc=0.4041, Val Loss=2.2535, lr=0.1000
[02/23 11:20:01] cifar100-mobilenetv2 INFO: Epoch 65/200, Acc=0.3545, Val Loss=2.5808, lr=0.1000
[02/23 11:20:36] cifar100-mobilenetv2 INFO: Epoch 66/200, Acc=0.4266, Val Loss=2.1233, lr=0.1000
