[02/23 02:28:60] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 37/100, Acc=0.8150, Val Loss=0.6018, lr=0.0100
[02/23 02:29:11] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 38/100, Acc=0.8272, Val Loss=0.5436, lr=0.0100
[02/23 02:29:22] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 39/100, Acc=0.8357, Val Loss=0.5455, lr=0.0100
[02/23 02:29:33] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 40/100, Acc=0.8365, Val Loss=0.5666, lr=0.0100
[02/23 02:29:45] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 41/100, Acc=0.8402, Val Loss=0.5271, lr=0.0100
[02/23 02:29:56] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 42/100, Acc=0.8142, Val Loss=0.5786, lr=0.0100
[02/23 02:30:07] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 43/100, Acc=0.8535, Val Loss=0.4884, lr=0.0100
[02/23 02:30:18] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 44/100, Acc=0.8377, Val Loss=0.5507, lr=0.0100
[02/23 02:30:29] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 45/100, Acc=0.8539, Val Loss=0.4824, lr=0.0100
[02/23 02:30:40] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 46/100, Acc=0.8191, Val Loss=0.5699, lr=0.0100
[02/23 02:30:51] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 47/100, Acc=0.8106, Val Loss=0.5964, lr=0.0100
[02/23 02:31:02] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 48/100, Acc=0.7624, Val Loss=0.6783, lr=0.0100
[02/23 02:31:13] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 49/100, Acc=0.8369, Val Loss=0.5059, lr=0.0100
[02/23 02:31:24] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 50/100, Acc=0.8742, Val Loss=0.4276, lr=0.0010
[02/23 02:31:35] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 51/100, Acc=0.8754, Val Loss=0.4170, lr=0.0010
[02/23 02:31:46] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 52/100, Acc=0.8778, Val Loss=0.4177, lr=0.0010
[02/23 02:31:57] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 53/100, Acc=0.8734, Val Loss=0.4164, lr=0.0010
[02/23 02:32:10] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 54/100, Acc=0.8758, Val Loss=0.4147, lr=0.0010
[02/23 02:32:19] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 55/100, Acc=0.8790, Val Loss=0.4050, lr=0.0010
[02/23 02:32:30] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 56/100, Acc=0.8770, Val Loss=0.4074, lr=0.0010
[02/23 02:32:41] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 57/100, Acc=0.8811, Val Loss=0.3998, lr=0.0010
[02/23 02:32:52] modelnet40-global-obdc-3.0-pointnet INFO: Epoch 58/100, Acc=0.8754, Val Loss=0.4074, lr=0.0010
