acc1,params
0.9085820895522388,633470440
0.90,629372840
0.88,624701576
0.87,619784456
0.86,614621480
0.84,609376552
0.81,604049672
0.78,598640840
0.73,593150056
0.64,587495368
0.53,581922632
0.40,576185992
0.28,570449352
0.11,564630760
0.03,558812168
0.0,552911624
0.0,546929128
0.0,541028584
0.0,534964136
0.0,528981640
0.0,522917192
0.0,516770792
0.0,510706344
0.0,504477992
