[02/20 12:11:02] cifar10-resnet56 INFO: Epoch 31/200, Acc=0.6958, Val Loss=1.1271, lr=0.1000
[02/20 12:11:36] cifar10-resnet56 INFO: Epoch 32/200, Acc=0.8147, Val Loss=0.5486, lr=0.1000
[02/20 12:12:11] cifar10-resnet56 INFO: Epoch 33/200, Acc=0.8132, Val Loss=0.5531, lr=0.1000
[02/20 12:12:45] cifar10-resnet56 INFO: Epoch 34/200, Acc=0.8098, Val Loss=0.5905, lr=0.1000
[02/20 12:13:19] cifar10-resnet56 INFO: Epoch 35/200, Acc=0.7885, Val Loss=0.6242, lr=0.1000
[02/20 12:13:55] cifar10-resnet56 INFO: Epoch 36/200, Acc=0.7876, Val Loss=0.6368, lr=0.1000
[02/20 12:14:29] cifar10-resnet56 INFO: Epoch 37/200, Acc=0.7924, Val Loss=0.6657, lr=0.1000
[02/20 12:15:04] cifar10-resnet56 INFO: Epoch 38/200, Acc=0.8121, Val Loss=0.5652, lr=0.1000
[02/20 12:15:40] cifar10-resnet56 INFO: Epoch 39/200, Acc=0.8111, Val Loss=0.5502, lr=0.1000
[02/20 12:16:15] cifar10-resnet56 INFO: Epoch 40/200, Acc=0.7989, Val Loss=0.6262, lr=0.1000
[02/20 12:16:49] cifar10-resnet56 INFO: Epoch 41/200, Acc=0.7725, Val Loss=0.6865, lr=0.1000
[02/20 12:17:25] cifar10-resnet56 INFO: Epoch 42/200, Acc=0.8088, Val Loss=0.5588, lr=0.1000
[02/20 12:18:00] cifar10-resnet56 INFO: Epoch 43/200, Acc=0.7990, Val Loss=0.5874, lr=0.1000
[02/20 12:18:35] cifar10-resnet56 INFO: Epoch 44/200, Acc=0.8213, Val Loss=0.5247, lr=0.1000
[02/20 12:19:09] cifar10-resnet56 INFO: Epoch 45/200, Acc=0.7996, Val Loss=0.5945, lr=0.1000
[02/20 12:19:44] cifar10-resnet56 INFO: Epoch 46/200, Acc=0.8008, Val Loss=0.5908, lr=0.1000
[02/20 12:20:19] cifar10-resnet56 INFO: Epoch 47/200, Acc=0.8356, Val Loss=0.5010, lr=0.1000
[02/20 12:20:54] cifar10-resnet56 INFO: Epoch 48/200, Acc=0.7301, Val Loss=0.9373, lr=0.1000
[02/20 12:21:28] cifar10-resnet56 INFO: Epoch 49/200, Acc=0.7825, Val Loss=0.7160, lr=0.1000
[02/20 12:22:03] cifar10-resnet56 INFO: Epoch 50/200, Acc=0.8245, Val Loss=0.5277, lr=0.1000
[02/20 12:22:37] cifar10-resnet56 INFO: Epoch 51/200, Acc=0.8249, Val Loss=0.5172, lr=0.1000
[02/20 12:23:12] cifar10-resnet56 INFO: Epoch 52/200, Acc=0.7945, Val Loss=0.6566, lr=0.1000
[02/20 12:23:46] cifar10-resnet56 INFO: Epoch 53/200, Acc=0.7698, Val Loss=0.7477, lr=0.1000
[02/20 12:24:21] cifar10-resnet56 INFO: Epoch 54/200, Acc=0.7495, Val Loss=0.8428, lr=0.1000
[02/20 12:24:56] cifar10-resnet56 INFO: Epoch 55/200, Acc=0.7545, Val Loss=0.8067, lr=0.1000
[02/20 12:25:31] cifar10-resnet56 INFO: Epoch 56/200, Acc=0.8121, Val Loss=0.5563, lr=0.1000
[02/20 12:26:05] cifar10-resnet56 INFO: Epoch 57/200, Acc=0.7973, Val Loss=0.6260, lr=0.1000
[02/20 12:26:40] cifar10-resnet56 INFO: Epoch 58/200, Acc=0.7687, Val Loss=0.6991, lr=0.1000
[02/20 12:27:15] cifar10-resnet56 INFO: Epoch 59/200, Acc=0.7233, Val Loss=0.8357, lr=0.1000
[02/20 12:27:50] cifar10-resnet56 INFO: Epoch 60/200, Acc=0.7670, Val Loss=0.7201, lr=0.1000
[02/20 12:28:25] cifar10-resnet56 INFO: Epoch 61/200, Acc=0.7962, Val Loss=0.6177, lr=0.1000
[02/20 12:29:00] cifar10-resnet56 INFO: Epoch 62/200, Acc=0.8340, Val Loss=0.4949, lr=0.1000
[02/20 12:29:34] cifar10-resnet56 INFO: Epoch 63/200, Acc=0.7599, Val Loss=0.7806, lr=0.1000
[02/20 12:30:10] cifar10-resnet56 INFO: Epoch 64/200, Acc=0.7447, Val Loss=0.8149, lr=0.1000
[02/20 12:30:45] cifar10-resnet56 INFO: Epoch 65/200, Acc=0.7190, Val Loss=0.9310, lr=0.1000
[02/20 12:31:20] cifar10-resnet56 INFO: Epoch 66/200, Acc=0.8125, Val Loss=0.5654, lr=0.1000
[02/20 12:31:54] cifar10-resnet56 INFO: Epoch 67/200, Acc=0.8017, Val Loss=0.6237, lr=0.1000
[02/20 12:32:29] cifar10-resnet56 INFO: Epoch 68/200, Acc=0.7975, Val Loss=0.6187, lr=0.1000
[02/20 12:33:04] cifar10-resnet56 INFO: Epoch 69/200, Acc=0.7405, Val Loss=0.8616, lr=0.1000
[02/20 12:33:38] cifar10-resnet56 INFO: Epoch 70/200, Acc=0.8334, Val Loss=0.5120, lr=0.1000
[02/20 12:34:13] cifar10-resnet56 INFO: Epoch 71/200, Acc=0.8242, Val Loss=0.5174, lr=0.1000
[02/20 12:34:47] cifar10-resnet56 INFO: Epoch 72/200, Acc=0.7746, Val Loss=0.6909, lr=0.1000
