acc1,params
0.85,16864992232
0.84,16683318832
0.83,16476211156
0.81,16258203076
0.78,16029294592
0.74,15796752640
0.68,15560577220
0.61,15320768332
0.53,15077325976
0.44,14826616684
0.35,14579540860
0.25,14325198100
0.14,14070855340
0.03,13812879112
0.00,13554902884
0.00,13293293188
0.00,13028050024
0.00,12766440328
0.00,12497563696
0.00,12232320532
0.00,11963443900
0.00,11690933800
0.00,11422057168
0.00,11145913600
