acc1,params
0.85,86567656
0.85,85645456
0.85,84594148
0.85,83487508
0.84,82325536
0.82,81145120
0.79,79946260
0.77,78728956
0.74,77493208
0.69,76220572
0.59,74966380
0.31,73675300
0.18,72384220
0.06,71074696
0.00,69765172
0.00,68437204
0.00,67090792
0.0,65762824
0.0,64397968
0.0,63051556
0.0,61686700
0.0,60303400
0.0,58938544
0.0,57536800
