acc1,params
0.9085820895522388,633470440
0.90,629372840
0.90,624701576
0.90,619784456
0.90,614621480
0.90,609376552
0.90,604049672
0.89,598640840
0.89,593150056
0.89,587495368
0.88,581922632
0.87,576185992
0.83,570449352
0.79,564630760
0.73,558812168
0.65,552911624
0.50,546929128
0.33,541028584
0.15,534964136
0.06,528981640
0.0,522917192
0.0,516770792
0.0,510706344
0.0,504477992
