dataset,model,ratio,method,best_accuracy
cifar10,mobilenetv2,2.0,slim,0.9064
cifar10,mobilenetv2,2.0,proj_sl,0.9061
cifar10,mobilenetv2,2.0,lamp,0.9019
cifar10,mobilenetv2,2.0,proj,0.9038
cifar10,mobilenetv2,2.0,l2,0.8997
cifar10,resnet56,3.0,obdc,0.9108
cifar10,resnet56,3.0,fpgm,0.9241
cifar10,resnet56,3.0,random,0.8963
cifar10,resnet56,3.0,group_sl,0.9419
cifar10,resnet56,3.0,group_norm,0.9313
cifar10,resnet56,3.0,slim,0.9408
cifar10,resnet56,3.0,proj_sl,0.9439
cifar10,resnet56,3.0,lamp,0.9133
cifar10,resnet56,3.0,proj,0.9326
cifar10,resnet56,3.0,l2,0.9315
cifar10,resnet56,2.0,obdc,0.9292
cifar10,resnet56,2.0,fpgm,0.934
cifar10,resnet56,2.0,random,0.9295
cifar10,resnet56,2.0,group_sl,0.9404
cifar10,resnet56,2.0,group_norm,0.9362
cifar10,resnet56,2.0,slim,0.9408
cifar10,resnet56,2.0,proj_sl,0.9401
cifar10,resnet56,2.0,lamp,0.9297
cifar10,resnet56,2.0,proj,0.9374
cifar10,resnet56,2.0,l2,0.9346
