,pruned,acc1,acc5,loss
0,0,0.74,0.9056,32.739280104637146
1,32,0.7393,0.8999,40.79248583316803
2,64,0.7393,0.8991,40.932034730911255
3,96,0.7404,0.899,41.13323497772217
4,128,0.7398,0.8967,41.37441682815552
5,160,0.7391,0.8964,46.71108138561249
6,192,0.7379,0.8952,48.83323693275452
7,224,0.7385,0.8933,52.59791684150696
8,256,0.7372,0.8916,57.348522424697876
9,288,0.7371,0.8916,62.21863555908203
10,320,0.7355,0.8892,66.92990946769714
11,352,0.7339,0.883,70.05671691894531
12,384,0.7313,0.8772,72.86572003364563
13,416,0.7251,0.8651,73.65085434913635
14,448,0.7037,0.8475,65.08706831932068
15,480,0.3506,0.6545,80.54175209999084
