,pruned,acc1,acc5,loss
0,0,0.74,0.9056,32.739280104637146
1,32,0.7387,0.8996,41.13125026226044
2,64,0.7393,0.8993,41.266419768333435
3,96,0.7407,0.8992,41.4755300283432
4,128,0.7402,0.8962,41.72680354118347
5,160,0.7396,0.8964,47.22464108467102
6,192,0.7376,0.8952,49.42630362510681
7,224,0.7382,0.8931,53.308552742004395
8,256,0.7379,0.8919,58.203662157058716
9,288,0.7378,0.8911,63.22085905075073
10,320,0.7356,0.8889,68.09090065956116
11,352,0.7343,0.8825,71.37627530097961
12,384,0.7313,0.8768,74.3379225730896
13,416,0.724,0.865,75.21923422813416
14,448,0.7038,0.8467,66.57198572158813
15,480,0.3448,0.6524,82.8201596736908
