,pruned,acc1,acc5,loss
0,0,0.74,0.9056,32.739280104637146
1,32,0.7406,0.9048,31.370712757110596
2,64,0.7397,0.902,29.971307277679443
3,96,0.739,0.8981,28.632527828216553
4,128,0.7386,0.8965,27.248525619506836
5,160,0.7359,0.8802,26.181236028671265
6,192,0.7329,0.8734,25.16578984260559
7,224,0.7304,0.8648,25.72321379184723
8,256,0.7282,0.8579,28.666695594787598
9,288,0.7256,0.8493,35.10288691520691
10,320,0.7176,0.8319,44.84134840965271
11,352,0.7101,0.8266,55.77652168273926
12,384,0.6237,0.7983,66.93909072875977
13,416,0.4827,0.7467,76.72744989395142
14,448,0.288,0.6481,84.46365070343018
15,480,0.1282,0.3988,89.91686677932739
