,pruned,acc1,acc5,loss
0,0.0,0.9394,0.9968,6.8042271733284
1,0.1,0.9336,0.9961,7.503257781267166
2,0.2,0.9296,0.9929,7.48410627245903
3,0.3,0.9231,0.9902,8.068418711423874
4,0.4,0.9042,0.9856,8.768255144357681
5,0.5,0.9001,0.9859,9.624561041593552
