,pruned,acc1,acc5,loss
0,0,0.9394,0.9968,6.8042271733284
1,32,0.9391,0.9962,7.7215315997600555
2,64,0.9391,0.9964,7.7656455636024475
3,96,0.9392,0.9964,8.109659552574158
4,128,0.939,0.9964,8.716643929481506
5,160,0.9388,0.9963,9.139497935771942
6,192,0.9392,0.996,9.590863972902298
7,224,0.9389,0.9956,10.155922532081604
8,256,0.9391,0.9949,11.414321601390839
9,288,0.9387,0.9945,13.145921885967255
10,320,0.9387,0.9948,14.876142978668213
11,352,0.9387,0.9945,16.176761031150818
12,384,0.9389,0.9937,16.94757604598999
13,416,0.9382,0.9935,15.80778020620346
14,448,0.9382,0.9913,12.322124719619751
15,480,0.9361,0.9891,6.400523871183395
