,pruned,acc1,acc5,loss
0,0,0.9394,0.9968,6.8042271733284
1,32,0.9392,0.9962,7.702656120061874
2,64,0.9392,0.9964,7.746535062789917
3,96,0.9391,0.9964,8.083912879228592
4,128,0.9393,0.9965,8.677514255046844
5,160,0.9389,0.9962,9.090837687253952
6,192,0.9392,0.9958,9.53273954987526
7,224,0.9389,0.9953,10.087241262197495
8,256,0.9391,0.9949,11.315944343805313
9,288,0.9387,0.9945,13.009819269180298
10,320,0.9386,0.9947,14.705617517232895
11,352,0.9387,0.9943,15.973439931869507
12,384,0.9387,0.9936,16.70586061477661
13,416,0.9381,0.993,15.568122267723083
14,448,0.9385,0.9914,12.108409702777863
15,480,0.9369,0.9894,6.220958963036537
