,pruned,acc1,acc5,loss
0,0,0.9394,0.9968,6.8042271733284
1,32,0.9392,0.997,6.596970766782761
2,64,0.9396,0.996,6.352066278457642
3,96,0.9399,0.9957,6.0601485669612885
4,128,0.9397,0.9941,5.800690948963165
5,160,0.9395,0.9932,5.536447495222092
6,192,0.9391,0.9921,5.306284859776497
7,224,0.9389,0.9912,5.159556970000267
8,256,0.9388,0.9894,5.206714436411858
9,288,0.9396,0.9869,6.100299596786499
10,320,0.9391,0.986,8.905528843402863
11,352,0.9381,0.9847,14.594634175300598
12,384,0.9383,0.9827,22.393041610717773
13,416,0.9381,0.9866,31.31075084209442
14,448,0.9357,0.9869,38.7624055147171
15,480,0.626,0.9825,44.00839829444885
