,pruned,acc1,acc5,loss
0,0,0.9394,0.9968,6.8042271733284
1,32,0.9392,0.9956,11.759706825017929
2,64,0.9397,0.9954,12.200526356697083
3,96,0.939,0.9952,14.416820764541626
4,128,0.9391,0.9954,18.205022990703583
5,160,0.9374,0.9947,24.86199802160263
6,192,0.9379,0.9943,28.89931958913803
7,224,0.9374,0.9948,37.13259768486023
8,256,0.9371,0.9949,56.40205788612366
9,288,0.9385,0.9932,102.04598021507263
10,320,0.9369,0.9933,166.55755233764648
11,352,0.9353,0.993,335.02429008483887
12,384,0.9367,0.9926,509.41004180908203
13,416,0.9366,0.9902,922.4722061157227
14,448,0.8763,0.9771,6755.26823425293
15,480,0.5486,0.7785,181596812.5
