index,acc1,acc5,loss,macs,params,model_size,inference_time
0,0.9085820895522388,0.9904084158415841,36.79553114529699,863467906280,633470440,2416.4979553222656,0
1,0.90,0.9910272277227723,36.8696681316942,857854194280,629372840,2400.8668518066406,0
2,0.8991336633663366,0.9910272277227723,36.604575359262526,851454562600,624701576,2383.047393798828,0
3,0.8978960396039604,0.9910272277227723,36.92989070247859,844718108200,619784456,2364.290069580078,0
4,0.8966584158415841,0.9910272277227723,37.13482540845871,837644831080,614621480,2344.5948791503906,0
5,0.8938737623762376,0.9907178217821783,37.656401003710926,830459279720,609376552,2324.5870666503906,0
6,0.8960396039603961,0.9919554455445545,38.023692559450865,823161454120,604049672,2304.266632080078,0
7,0.8901608910891089,0.9904084158415841,38.80731332395226,815751354280,598640840,2283.633575439453,0
8,0.8867574257425742,0.9900990099009901,39.91785889491439,808228980200,593150056,2262.6878967285156,0
9,0.8836633663366337,0.9891707920792079,40.93373978603631,800482057640,587495368,2241.116973876953,0
10,0.880259900990099,0.9866955445544554,43.00917337089777,792847409320,581922632,2219.858673095703,0
11,0.8650990099009901,0.9820544554455446,47.3446773532778,784988212520,576185992,2197.975128173828,0
12,0.8530321782178217,0.9752475247524752,53.41907373536378,777129015720,570449352,2176.091583251953,0
13,0.8242574257425742,0.9653465346534653,65.70107666403055,769157544680,564630760,2153.8954162597656,0
14,0.7546410891089109,0.9248143564356436,100.1456129103899,761186073640,558812168,2131.699249267578,0
15,0.6379950495049505,0.8341584158415841,171.80075846612453,753102328360,552911624,2109.190460205078,0
16,0.44616336633663367,0.6646039603960396,301.2875857949257,744906308840,546929128,2086.3690490722656,0
17,0.20761138613861385,0.3598391089108911,596.89177560806274,736822563560,541028584,2063.8602600097656,0
18,0.06621287128712872,0.17543316831683167,718.6193990707397,728514269800,534964136,2040.7262268066406,0
19,0.018564356435643563,0.06157178217821782,974.2184157371521,720318250280,528981640,2017.9048156738281,0
20,0.004331683168316832,0.01516089108910891,1205.748128414154,712009956520,522917192,1994.7707824707031,0
21,0.0027846534653465345,0.004331683168316832,1315.0888524055481,703589388520,516770792,1971.3241271972656,0
22,0.0003094059405940594,0.003094059405940594,1320.7073607444763,695281094760,510706344,1948.1900939941406,0
23,0.0,0.0,1424.87229347229,686748252520,504477992,1924.4308166503906,0
