method,dataset,model,2.0,3.0
Random,cifar10,resnet56,0.9295,0.8963
MagnitudeL2,cifar10,resnet56,0.9346,0.9315
Slimming,cifar10,resnet56,0.9408,0.9408
FPGM,cifar10,resnet56,0.934,0.9241
EigenDamage,cifar10,resnet56,0.9292,0.9108
LAMP,cifar10,resnet56,0.9297,0.9133
DepGraph,cifar10,resnet56,0.9362,0.9313
DepGraph-SL,cifar10,resnet56,0.9404,0.9419
\bf{Projective (ours)},cifar10,resnet56,0.9401,0.9439
