method,dataset,model,2.0,3.0
Random,cifar10,vgg19,0.7538,0.6338
MagnitudeL2,cifar10,vgg19,0.9398,0.9356
Slimming,cifar10,vgg19,0.9387,0.9367
FPGM,cifar10,vgg19,0.9359,0.9363
EigenDamage,cifar10,vgg19,0.9367,0.9361
LAMP,cifar10,vgg19,0.9389,0.9383
DepGraph,cifar10,vgg19,0.9402,0.9370
DepGraph-SL,cifar10,vgg19,0.9389,0.9387
\bf{Projective (ours)},cifar10,vgg19,0.9388,0.9384
