acc1,params
0.9085820895522388,633470440
0.90,629372840
0.90,624701576
0.89,619784456
0.89,614621480
0.89,609376552
0.88,604049672
0.88,598640840
0.88,593150056
0.87,587495368
0.83,581922632
0.77,576185992
0.63,570449352
0.42,564630760
0.12,558812168
0.01,552911624
0.0,546929128
0.0,541028584
0.0,534964136
0.0,528981640
0.0,522917192
0.0,516770792
0.0,510706344
0.0,504477992
