index,acc1,acc5,loss,macs,params,model_size,inference_time
0,0.9085820895522388,0.9909825870646766,67.59540007729083,863467906280,633470440,2416.4979553222656,0
1,0.9067164179104478,0.9905161691542289,68.00846197688952,857854194280,629372840,2400.8668518066406,0
2,0.904228855721393,0.9898942786069652,68.45553243532777,851454562600,624701576,2383.047393798828,0
3,0.900497512437811,0.9891169154228856,69.7529060752131,844718108200,619784456,2364.290069580078,0
4,0.8958333333333334,0.9891169154228856,73.50654753204435,837644831080,614621480,2344.5948791503906,0
5,0.8905472636815921,0.9881840796019901,77.30351107334718,830459279720,609376552,2324.5870666503906,0
6,0.8835509950248757,0.986318407960199,82.64780348911881,823161454120,604049672,2304.266632080078,0
7,0.877021144278607,0.9846082089552238,87.70937097538263,815751354280,598640840,2283.633575439453,0
8,0.8638059701492538,0.9800995024875622,97.4896688517183,808228980200,593150056,2262.6878967285156,0
9,0.8418843283582089,0.9696828358208955,119.62025912292302,800482057640,587495368,2241.116973876953,0
10,0.7821828358208955,0.9311256218905473,195.35922633484006,792847409320,581922632,2219.858673095703,0
11,0.6691542288557214,0.8563432835820896,364.35515609383583,784988212520,576185992,2197.975128173828,0
12,0.4479166666666667,0.6671330845771144,705.8808497786522,777129015720,570449352,2176.091583251953,0
13,0.29524253731343286,0.5180348258706468,980.0812183618546,769157544680,564630760,2153.8954162597656,0
14,0.14894278606965175,0.3179415422885572,1180.4283246994019,761186073640,558812168,2131.699249267578,0
15,0.052394278606965175,0.11986940298507463,1299.5003108978271,753102328360,552911624,2109.190460205078,0
16,0.022077114427860697,0.060167910447761194,1331.2700357437134,744906308840,546929128,2086.3690490722656,0
17,0.014303482587064677,0.04337686567164179,1324.5994391441345,736822563560,541028584,2063.8602600097656,0
18,0.00792910447761194,0.024098258706467663,1336.5109305381775,728514269800,534964136,2040.7262268066406,0
19,0.004819651741293532,0.015236318407960199,1344.5739455223083,720318250280,528981640,2017.9048156738281,0
20,0.0003109452736318408,0.005441542288557214,1359.0281109809875,712009956520,522917192,1994.7707824707031,0
21,0.0,0.0012437810945273632,1368.9629182815552,703589388520,516770792,1971.3241271972656,0
22,0.0,0.000777363184079602,1379.5413670539856,695281094760,510706344,1948.1900939941406,0
23,0.0004664179104477612,0.0013992537313432835,1390.3313727378845,686748252520,504477992,1924.4308166503906,0
